Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
7.305292415618896484e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.981400000000000006e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.405393314361572266e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.976500000000000057e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.505478739738464355e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.991199999999999903e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.605646085739135742e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.986299999999999955e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.705813717842102051e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.005900000000000105e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.805872178077697754e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.996099999999999852e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.905991697311401367e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.986299999999999955e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.006022548675537109e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.020499999999999829e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.106117630004882812e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.015599999999999881e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.206144046783447266e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.015599999999999881e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.306193375587463379e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.030300000000000082e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.406275010108947754e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.030300000000000082e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.506336021423339844e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.030300000000000082e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.606404376029968262e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.044999999999999929e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.706501817703247070e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.040099999999999980e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.806603717803955078e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.040099999999999980e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.906726264953613281e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.074299999999999855e+01,2.707700000000000173e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.006778693199157715e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.064499999999999957e+01,2.712600000000000122e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.106879758834838867e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.059600000000000009e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.206974506378173828e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.098699999999999832e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.307041478157043457e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.069399999999999906e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.407111573219299316e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.074299999999999855e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.507190132141113281e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.103600000000000136e+01,2.712600000000000122e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.607286620140075684e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.113400000000000034e+01,2.707700000000000173e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.707329273223876953e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.113400000000000034e+01,2.712600000000000122e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.807436680793762207e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.108500000000000085e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.907545948028564453e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.098699999999999832e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000771679878234863e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.118299999999999983e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.010778203010559082e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.128099999999999881e+01,2.717500000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.020784964561462402e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.118299999999999983e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.030797066688537598e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.128099999999999881e+01,2.717500000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.040807383060455322e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.132900000000000063e+01,2.717500000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.050817234516143799e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.137800000000000011e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.060821349620819092e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.137800000000000011e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.070826177597045898e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.137800000000000011e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.080829741954803467e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.157400000000000162e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.090833821296691895e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.152499999999999858e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100836408138275146e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.157400000000000162e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.110843594074249268e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.167200000000000060e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.120855422019958496e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.181800000000000139e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.130867183208465576e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.181800000000000139e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.140876684188842773e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.191600000000000037e+01,2.717500000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.150881826877593994e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.196499999999999986e+01,2.741900000000000048e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.160886263847351074e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.211099999999999710e+01,2.712600000000000122e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.170894575119018555e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.201400000000000290e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.180898969173431396e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.211099999999999710e+01,2.737000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.190910823345184326e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.215999999999999659e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200919275283813477e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.220900000000000318e+01,2.707700000000000173e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.210927498340606689e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.220900000000000318e+01,2.741900000000000048e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.220941033363342285e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.211099999999999710e+01,2.737000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.230945520401000977e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.220900000000000318e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.240957541465759277e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.225800000000000267e+01,2.746799999999999997e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.250971369743347168e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.245400000000000063e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.260975604057312012e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.255100000000000193e+01,2.756599999999999895e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.270982999801635742e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.269800000000000040e+01,2.751699999999999946e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.280995569229125977e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.274699999999999989e+01,2.746799999999999997e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.291003115177154541e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.279599999999999937e+01,2.751699999999999946e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.301008784770965576e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.269800000000000040e+01,2.751699999999999946e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.311013836860656738e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.269800000000000040e+01,2.737000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.321027145385742188e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.269800000000000040e+01,2.737000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.331030704975128174e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.284499999999999886e+01,2.746799999999999997e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.341042840480804443e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.289300000000000068e+01,2.751699999999999946e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.351053595542907715e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.299099999999999966e+01,2.771300000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.361067876815795898e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.308899999999999864e+01,2.776099999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.371072771549224854e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.308899999999999864e+01,2.766400000000000148e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.381078021526336670e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.303999999999999915e+01,2.746799999999999997e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.391088926792144775e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.299099999999999966e+01,2.751699999999999946e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.401094925403594971e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.318699999999999761e+01,2.776099999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.411106493473052979e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.323599999999999710e+01,2.766400000000000148e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.421115784645080566e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.323599999999999710e+01,2.746799999999999997e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.431125571727752686e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.338199999999999790e+01,2.795700000000000074e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.441136939525604248e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.323599999999999710e+01,2.771300000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.451144778728485107e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.333299999999999841e+01,2.785900000000000176e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.461154940128326416e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.343099999999999739e+01,2.780999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.471159939765930176e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.338199999999999790e+01,2.776099999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.481164329051971436e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.347999999999999687e+01,2.790800000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.491171989440917969e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.347999999999999687e+01,2.776099999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.501179144382476807e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.357800000000000296e+01,2.790800000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.511185054779052734e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.362700000000000244e+01,2.780999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.521194941997528076e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.372399999999999665e+01,2.771300000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.531205129623413086e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.352900000000000347e+01,2.790800000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
