Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
1.210985198020935059e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.558200000000000074e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.220991413593292236e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.577700000000000102e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.231002383232116699e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.572800000000000153e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.241014454364776611e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.567900000000000205e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.251027908325195312e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.582600000000000051e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.261040987968444824e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.582600000000000051e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.271051933765411377e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.592399999999999949e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.281061413288116455e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.597299999999999898e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.291063597202301025e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.597299999999999898e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.301067826747894287e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.597299999999999898e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.311079564094543457e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.602199999999999847e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.321087515354156494e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.611899999999999977e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.331094937324523926e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.616799999999999926e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.341102733612060547e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.621699999999999875e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.351109921932220459e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.626599999999999824e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.361116621494293213e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.607000000000000028e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.371124377250671387e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.607000000000000028e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.381127111911773682e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.611899999999999977e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.391129527091979980e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.607000000000000028e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.401132094860076904e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.611899999999999977e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.411135988235473633e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.616799999999999926e+01,2.927700000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.421146144866943359e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.631499999999999773e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
